time_s,true_x,true_y,amcl_x,amcl_y,amcl_err,ekf_x,ekf_y,ekf_err,eif_x,eif_y,eif_err,rtab_x,rtab_y,rtab_err,fused_x,fused_y,fused_err,ekfr_x,ekfr_y,ekfr_err
0.0,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,,,,0.0,0.0,0.002268,,,,0.002194,-0.002841,0.001367
0.1279,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
0.3153,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
0.5137,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
0.7136,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
0.9208,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
1.2917,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
1.3136,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
1.517,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
1.7162,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
1.9187,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
2.1134,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
2.3169,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
2.5136,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
2.7141,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
2.9136,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
3.1149,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
3.315,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
3.5157,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
3.7265,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
3.918,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
4.1337,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
4.3204,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
4.5275,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.0,0.0,0.002268,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
4.7313,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
4.9146,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,0.002194,-0.002841,0.001367
5.1139,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
5.3165,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
5.5216,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
5.7139,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
5.9353,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
6.1304,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
6.3186,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
6.5192,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
6.7326,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
6.9134,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
7.1137,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
7.318,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
7.5149,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
7.716,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
7.9305,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
8.1137,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
8.3156,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
8.5141,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
8.7223,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
8.9195,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
9.118,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
9.3398,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
9.523,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
9.7223,0.001155,-0.001953,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,0.001155,-0.001953,0.0,-0.00074,0.001372,0.003826,0.001155,-0.001953,0.0,-0.000739,0.001371,0.003825
