time_s,true_x,true_y,amcl_x,amcl_y,amcl_err,ekf_x,ekf_y,ekf_err,eif_x,eif_y,eif_err,rtab_x,rtab_y,rtab_err,fused_x,fused_y,fused_err,ekfr_x,ekfr_y,ekfr_err
0.0,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.0,0.0,0.013812,,,,-0.001639,0.002244,0.016591
0.2,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.0,0.0,0.013812,,,,-0.001639,0.002244,0.016591
0.3994,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.0,0.0,0.013812,,,,-0.001639,0.002244,0.016591
0.5986,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.0,0.0,0.013812,,,,-0.001639,0.002244,0.016591
0.8114,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.0,0.0,0.013812,,,,-0.001639,0.002244,0.016591
1.0125,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.0,0.0,0.013812,,,,-0.001639,0.002244,0.016591
1.2023,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.0,0.0,0.013812,,,,-0.001639,0.002244,0.016591
1.3983,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.0,0.0,0.013812,,,,-0.001639,0.002244,0.016591
1.6035,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.0,0.0,0.013812,,,,-0.001639,0.002244,0.016591
1.9447,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.0,0.0,0.013812,,,,-0.001639,0.002244,0.016591
1.9996,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
2.1985,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
2.4005,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
2.6183,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
2.8001,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
3.014,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
3.2002,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
3.4217,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
3.5984,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
3.8019,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
3.9987,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
4.2099,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
4.4042,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
4.6075,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
5.0683,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
5.2048,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
5.4102,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
5.602,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
5.8023,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
6.0025,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
6.2017,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
6.4113,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
6.5996,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
6.7995,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
7.0025,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
7.201,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
7.4046,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
7.6312,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
7.817,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
8.0081,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
8.1985,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
8.4056,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
8.5999,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
8.7984,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
9.0012,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
9.2147,0.008373,-0.010986,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.008373,-0.010986,0.0,0.00012,0.00123,0.014742,,,,0.00012,0.001231,0.014742
