time_s,true_x,true_y,amcl_x,amcl_y,amcl_err,ekf_x,ekf_y,ekf_err,eif_x,eif_y,eif_err,rtab_x,rtab_y,rtab_err,fused_x,fused_y,fused_err,ekfr_x,ekfr_y,ekfr_err
0.0,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,,,,0.000409,-0.000639,0.015815,,,,0.000409,-0.000639,0.015815
0.0945,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
0.2956,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
0.4956,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
0.6967,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
0.8981,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
1.0982,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
1.2995,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
1.5118,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
1.6981,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
1.8974,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
2.1028,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
2.2941,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
2.503,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
2.7433,0.016223,-0.000471,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815,0.016223,-0.000471,0.0,0.000409,-0.000639,0.015815
