time_s,true_x,true_y,amcl_x,amcl_y,amcl_err,ekf_x,ekf_y,ekf_err,eif_x,eif_y,eif_err,rtab_x,rtab_y,rtab_err,fused_x,fused_y,fused_err,ekfr_x,ekfr_y,ekfr_err
5.4304,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
5.6048,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
5.7953,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
5.9976,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
6.5011,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
6.5953,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
6.7996,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
7.0218,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
7.2153,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
7.3969,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
7.5969,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
7.8016,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
7.9997,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
8.2011,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
8.4072,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
8.6265,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
8.7968,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
8.9975,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
9.1952,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
9.4027,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
9.5966,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
9.8027,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
9.996,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
10.6162,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
10.7951,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
10.9952,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
11.4193,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
11.5974,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
11.8121,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
11.9953,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
12.5351,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
12.626,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
12.8222,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
12.9951,0.011005,-0.009048,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365,0.011005,-0.009048,0.0,0.001112,0.001367,0.014365
