node,avg_cpu_%,max_cpu_%,avg_mem_mb,max_mem_mb
ekf_node,0.0,0.0,26.12,26.12
eif_node,0.0,0.0,26.09,26.09
rtabmap,0.0,0.0,26.36,26.36
fusion_node,0.0,0.0,26.75,26.75
ekf_rtab_node,0.0,0.0,26.12,26.12
